frame,source_image,sent_bytes,received_bytes,status,bit_exact,nodes_orig,nodes_rec,edges_orig,edges_rec,edges_common,nodes_match,edge_precision,edge_recall,edge_f1,actor_edges_orig,actor_edges_rec,actor_edges_common,actor_edge_precision,actor_edge_recall,actor_edge_f1,risky_orig,risky_rec,risky_preserved,format,blocks_missing,relations_recovered,relations_sent,tx_time,rx_time,distance_m,chunks_sent,chunks_heard,note
10,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097106.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v2,,,6,61.0,,,2,0,"sent at t=61.0, nothing heard"
11,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097107.jpg,1000,0,LOST,False,7,0,16,0,0,False,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,4,0,0,v2,,,6,66.0,,,2,0,"sent at t=66.0, nothing heard"
12,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097108.jpg,2000,0,LOST,False,10,0,19,0,0,False,0.0,0.0,0.0,15,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,71.0,,,4,0,"sent at t=71.0, nothing heard"
13,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097109.jpg,2000,0,LOST,False,9,0,18,0,0,False,0.0,0.0,0.0,14,0,0,0.0,0.0,0.0,2,0,0,v2,,,7,81.0,,,4,0,"sent at t=81.0, nothing heard"
14,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097110.jpg,500,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,91.0,,,1,0,"sent at t=91.0, nothing heard"
15,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097111.jpg,500,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,93.5,,,1,0,"sent at t=93.5, nothing heard"
16,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097112.jpg,500,0,LOST,False,6,0,9,0,0,False,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,96.0,,,1,0,"sent at t=96.0, nothing heard"
17,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097113.jpg,1000,0,LOST,False,7,0,10,0,0,False,0.0,0.0,0.0,6,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,98.5,,,2,0,"sent at t=98.5, nothing heard"
18,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097114.jpg,1000,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,103.5,,,2,0,"sent at t=103.5, nothing heard"
19,/Users/mahdisahil/Desktop/PythonEnvs/gbsed/images_seq1/00097114.png,1000,0,LOST,False,8,0,11,0,0,False,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,2,0,0,v2,,,4,108.5,,,2,0,"sent at t=108.5, nothing heard"
